problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_tau,10000,10100,48,140,1,0.47,140,0,0.00614538029433335,0.0142999138645697,140,20,3,0.00732869182850861,22.8571428571429,0.330448735020581,0.47731794817009,0,20,0,20,0,0.142857142857143,0.00616688399561402,0.00809062224027009,0,0.0164700470712714,NaN,0.75,0.0337908939593256,0,0.0111902088084085,0.0172692915283782,0.0172692915283782,NaN,0,400,123,646,646,469,177,302,68,85,54,4508,0,162,162,162,162,140,140,140,140,140,0,20
LIRCMOP5_BC,1,ref_tau,30000,30120,139,90,1,0.3,90,0,0.00141665461837651,0.00471300197138708,90,20,3,0.00471130188975554,35.5555555555556,0.328459711152169,0.52555468771063,0,20,0,20,9,0.222222222222222,0.0171371562948111,0.0320234443307762,0,0.0329020046520615,NaN,0.85,0.0536730970741472,0.2,0.0188265108332487,0.0330185808677908,0.0330185808677908,NaN,0.45,400,84,568,568,386,182,229,55,79,37,5728,27,106,106,106,106,90,90,90,90,90,0,20
LIRCMOP5_BC,1,ref_tau,50000,50140,230,33,1,0.11,33,0,0.00134449668538317,0.00334525300629224,33,20,3,0.00172747735957703,96.969696969697,0.306300017610591,0.636450652687269,0,9,11,20,20,0.606060606060606,0.0261540861165209,0.0331559839960364,0,0.0380087942584916,NaN,0.45,-0.0364173339533564,1,0.0352324875896399,0.0439225658450455,0.0472919784430185,0.0399658622488324,1,400,39,478,478,375,103,178,50,23,14,5625,0,42,42,42,42,33,33,33,33,33,0,20
LIRCMOP5_BC,1,ref_tau,70000,70160,321,153,1,0.51,153,0,0.00356970808568923,0.0105212184301322,153,20,3,0.00800921321258441,20.9150326797386,0.576147659573129,0.946790543843109,0,20,0,20,0,0.130718954248366,0.0104407574269631,0.0150721424109441,0,0.0310075363796089,NaN,1,0.0686013338833544,0,0.0330075456908691,0.0369946266264399,0.0369946266264399,NaN,0,400,150,700,700,268,432,250,53,100,53,13325,0,159,159,159,159,153,153,153,153,153,0,20
LIRCMOP5_BC,1,ref_tau,100000,100080,457,77,1,0.26,77,0,0.00677477819266091,0.0153236719382089,77,20,3,0.00403078050567974,41.5584415584416,0.131778491649196,0.272383030328139,0,20,0,20,7,0.25974025974026,0.00212067282023919,0.0063894325522234,0,0.00660346102177886,NaN,1,0.116679667537449,0.0769230769230769,0.00214570580514631,0.00692247107594975,0.00692247107594975,NaN,0.35,400,83,566,566,353,213,262,72,100,72,5397,2286,113,113,113,113,77,77,77,77,77,0,20
