problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP6_BC,1,ref_tau,10000,10025,48,56,1,0.19,56,0,0.00455715022822053,0.0102714552446949,56,30,3,0.00293147673140344,22.8571428571429,0.350968466571797,0.483724398094616,-0,0.596919460601947,0.125,0.676929421065578,4.57873011532154,zero,25,5,30,30,0.535714285714286,0.0503459658026351,0.0584901923490114,0,0.068052933260759,NaN,0.666666666666667,0.00837712987237149,0.842105263157895,0.0630366738937876,0.0720156515268887,0.0723939748030234,0.0704686563444905,1,400,49,498,498,432,66,175,43,50,21,1646,0,62,62,62,62,56,56,56,56,56,0,30
LIRCMOP6_BC,1,ref_tau,30000,30035,135,160,1,0.54,160,0,0.00188761224835505,0.00684506175405966,160,30,3,0.00837564780400984,8,0.28956181406585,0.470555066607537,-0,1,0.1875,0.396374590061991,1.15802774586406,zero,18,12,30,11,0.1875,0.00520482609110311,0.0156903589866695,0,0.0220404263135646,NaN,0.533333333333333,0.00208739423649018,0.148148148148148,0.00749102754027292,0.0251345158438322,0.0258233803314595,0.024622952398173,0.366666666666667,400,168,736,736,470,266,320,77,92,69,8050,115,196,196,196,196,160,160,160,160,160,0,30
LIRCMOP6_BC,1,ref_tau,50000,50045,222,183,1,0.61,183,0,0.00158833245167839,0.00386324769278631,183,30,3,0.00957964717583626,6.99453551912568,0.353716958296027,0.633384539985945,0,1,0.131147540983607,0.483579018437829,0.682001566628261,zero,29,1,30,0,0.163934426229508,0.00637713221414788,0.0075043545127049,0,0.0130715623635657,NaN,0.633333333333333,0.0246982218061415,0,0.00900035491872161,0.017007582255004,0.0136653780511721,0.0240868691556678,0,400,192,784,784,465,319,353,70,100,70,9885,0,210,210,210,210,183,183,183,183,183,0,30
LIRCMOP6_BC,1,ref_tau,70000,70055,309,186,1,0.62,186,0,0.00132181032105428,0.00433200134141145,186,30,3,0.00973669057216144,6.88172043010753,0.382620821332127,0.630420855392559,0,1,0.145161290322581,0.593619019128351,1.1547868557602,zero,28,2,30,7,0.161290322580645,0.00525072353247951,0.0128765337780746,0,0.017198256585484,NaN,0.833333333333333,0.0432569427778499,0.17741935483871,0.00889419119409061,0.0173244368465711,0.0170981816125381,0.0173244368465711,0.233333333333333,400,195,790,790,460,330,354,69,100,69,12104,9,207,207,207,200,186,186,186,186,186,0,30
LIRCMOP6_BC,1,ref_tau,100000,100185,440,228,1,0.76,228,0,0.00351293538050791,0.00922841539899479,228,30,3,0.011935298120714,5.6140350877193,0.569126464660704,1.01544609982742,0,0.942426097306689,0.131578947368421,0.994939515443951,0.953818384251344,zero,22,8,30,9,0.131578947368421,0.00345820142227369,0.0226048247684636,0,0.0226048247684636,NaN,0.3,-0.0582795573261173,0.0789473684210526,0.0137507084992709,0.0226286966505471,0.0219072323265776,0.0215135536732642,0.3,400,231,862,862,414,448,346,80,100,80,14859,0,240,240,240,240,228,228,228,228,228,0,30
