problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_tau,10000,10208,46,42,1,0.14,42,0,0.00587091547796404,0.0211299441928949,42,20,3,0.00219860754855258,76.1904761904762,0.754488982225484,1.01608852643926,0,2,18,20,0,0.476190476190476,0.20064845604651,0.218006615185637,0,0.218704566777928,NaN,0.7,0.0637850506078116,0,0.200819094405407,0.218773430278789,0.187796763579954,0.219093696642746,0,400,42,484,484,186,298,82,14,96,14,6936,0,42,42,42,42,42,42,42,42,42,0,20
DASCMOP1_BC,1,ref_tau,30000,30106,137,75,1,0.25,75,0,0.00579373705649303,0.0112380657223283,75,20,3,0.00392608490812961,42.6666666666667,0.342449196012917,0.654878032406529,0,20,0,20,6,0.266666666666667,0.0749925108957404,0.132802504639167,0,0.132802504639167,NaN,0.5,0.000174948600741576,0.08,0.0783707617918537,0.133736040227978,0.133736040227978,NaN,0.3,400,75,550,550,212,338,113,25,100,25,5236,0,75,75,75,75,75,75,75,75,75,0,20
DASCMOP1_BC,1,ref_tau,50000,50126,228,87,1,0.29,87,0,0.00146969675382066,0.00444291600646505,87,20,3,0.00455425849343035,36.7816091954023,0.380612964661395,0.589973978258578,0,20,0,20,0,0.229885057471264,0.0260070651084057,0.0390602228889124,0,0.039987253967663,NaN,0.75,0.0451724218147118,0,0.033618692937301,0.0440686500213709,0.0440686500213709,NaN,0,400,81,562,562,212,350,179,31,100,31,8110,0,93,93,93,93,87,87,87,87,87,0,20
DASCMOP1_BC,1,ref_tau,70000,70146,319,86,1,0.29,86,0,0.00118750699484872,0.00404153126677231,86,20,3,0.00450191069465529,37.2093023255814,0.398015238420372,0.534336369955798,0,20,0,20,5,0.232558139534884,0.077373534120563,0.174555139072819,0,0.174555139072819,NaN,0.05,-0.063706984566175,0.137931034482759,0.0788497452489269,0.176216477350768,0.176216477350768,NaN,0.25,400,90,580,580,228,352,190,31,100,31,9211,0,93,93,93,93,86,86,86,86,86,0,20
DASCMOP1_BC,1,ref_tau,100000,100066,455,78,1,0.26,78,0,0.000772309179206952,0.00302140841123127,78,20,3,0.0040831283044548,41.025641025641,0.340771123402859,0.515568606057661,0,20,0,20,0,0.256410256410256,0.0162632465440323,0.0277695019739494,0,0.0299611515099498,NaN,0,-0.0197197083881128,0,0.0244755935580556,0.0337790586101477,0.0337790586101477,NaN,0,400,78,556,556,215,341,176,31,100,31,8186,0,93,93,93,93,78,78,78,78,78,0,20
DASCMOP1_BC,2,ref_tau,10000,10212,46,39,1,0.13,39,0,0.00518608860298544,0.0114101371469811,39,20,3,0.0020415641522274,82.0512820512821,1.01117445240027,1.22343020103996,0,0,20,20,0,0.512820512820513,0.0980521303150004,0.099934743546043,0,0.101232279065902,NaN,0.9,0.102414119878294,0,0.0987687818090978,0.101232279065902,NaN,0.101232279065902,0,400,42,484,484,178,306,88,15,100,15,6982,0,45,45,45,45,39,39,39,39,39,0,20
DASCMOP1_BC,2,ref_tau,30000,30213,137,75,1,0.25,75,0,0.00214120076402351,0.00758281014769997,75,20,3,0.00392608490812961,42.6666666666667,0.486922621143261,0.721166352422083,0,20,0,20,2,0.266666666666667,0.0309634055538138,0.196196380998554,0,0.196196380998554,NaN,1,0.625810723056118,0.08,0.0330467562508481,0.196201289273402,0.196201289273402,NaN,0.1,400,66,532,532,206,326,140,26,100,26,7222,0,78,78,78,78,75,75,75,75,75,0,20
DASCMOP1_BC,2,ref_tau,50000,50013,227,81,1,0.27,81,0,0.00129380152203931,0.00515743931487662,81,20,3,0.00424017170077998,39.5061728395062,0.419223381436424,0.631212760272175,0,20,0,20,2,0.246913580246914,0.0357233412298156,0.133211329815905,0,0.133211329815905,NaN,1,0.335255618956531,0.0740740740740741,0.0400464633299403,0.133246877953835,0.133246877953835,NaN,0.1,400,78,556,556,227,329,179,29,100,29,9461,0,87,87,87,87,81,81,81,81,81,0,20
DASCMOP1_BC,2,ref_tau,70000,70033,318,81,1,0.27,81,0,0.000981314012173695,0.00343720313748164,81,20,3,0.00424017170077998,39.5061728395062,0.453397287151844,0.614209479105351,0,20,0,20,0,0.246913580246914,0.0198011288357736,0.040834330153023,0,0.0415708371012479,NaN,1,0.372589348291683,0,0.027693878639638,0.046350283866885,0.046350283866885,NaN,0,400,90,580,580,230,350,190,29,100,29,9492,0,87,87,87,87,81,81,81,81,81,0,20
DASCMOP1_BC,2,ref_tau,100000,100173,455,87,1,0.29,87,0,0.00093146894782899,0.00435182276634335,87,20,3,0.00455425849343035,36.7816091954023,0.439032149723733,0.629867634205197,0,20,0,20,2,0.229885057471264,0.0653388427180134,0.180424661990535,0,0.181596144976624,NaN,0.95,0.0254477944212658,0.0689655172413793,0.0659976401739401,0.182684759761422,0.182684759761422,NaN,0.1,400,86,572,572,227,345,190,32,100,32,9238,0,96,96,96,96,87,87,87,87,87,0,20
DASCMOP1_BC,3,ref_tau,10000,10013,45,42,1,0.14,42,0,0.00483853049247493,0.00983326258863412,42,20,3,0.00219860754855258,76.1904761904762,0.859427174360196,1.13746834800639,0,0,20,20,20,0.476190476190476,0.0293171638970077,0.0316982231608897,0,0.0392047794216606,NaN,0.55,0.0575013977327765,1,0.0315835892270946,0.0394858435856645,NaN,0.0394858435856645,1,400,42,484,484,179,305,78,14,100,14,6141,0,42,42,42,42,42,42,42,42,42,0,20
DASCMOP1_BC,3,ref_tau,30000,30168,137,81,1,0.27,81,0,0.00382941982275717,0.0141083902895487,81,20,3,0.00424017170077998,39.5061728395062,0.504914139159392,0.665211804428685,0,20,0,20,2,0.246913580246914,0.0296715881379164,0.11078354257577,0,0.11078354257577,NaN,0.75,0.110610838551712,0.0740740740740741,0.0314628324729473,0.110822802917835,0.110822802917835,NaN,0.1,400,81,562,562,217,345,157,28,100,28,7871,0,84,84,84,84,81,81,81,81,81,0,20
DASCMOP1_BC,3,ref_tau,50000,50188,228,87,1,0.29,87,0,0.00255948551247943,0.00588303522820131,87,20,3,0.00455425849343035,36.7816091954023,0.453905680809737,0.634301481062538,0,20,0,20,1,0.229885057471264,0.00661031652796646,0.0139407981147488,0,0.0154159248118148,NaN,0,-0.0157870627949814,0.0689655172413793,0.0137132509489608,0.017901466714137,0.017901466714137,NaN,0.05,400,78,556,556,220,336,178,31,100,31,8076,0,93,93,93,93,87,87,87,87,87,0,20
DASCMOP1_BC,3,ref_tau,70000,70208,319,84,1,0.28,84,0,0.00114460806800428,0.00407153334095358,84,20,3,0.00439721509710517,38.0952380952381,0.318726494099063,0.565231267215823,0,20,0,20,2,0.238095238095238,0.0719781314342825,0.110259517756152,0,0.110259517756152,NaN,0,-0.0355191465420809,0.0714285714285714,0.0723693018762424,0.110276423446241,0.110276423446241,NaN,0.1,400,90,580,580,219,361,192,30,100,30,10032,0,90,90,90,90,84,84,84,84,84,0,20
DASCMOP1_BC,3,ref_tau,100000,100128,455,75,1,0.25,75,0,0.00062283774636972,0.00276284125419325,75,20,3,0.00392608490812961,42.6666666666667,0.419373477721272,0.693047425751743,0,20,0,20,1,0.266666666666667,0.0544903176595535,0.134612770189253,0,0.134612770189253,NaN,0,-0.00201892554204219,0.08,0.0546050307650442,0.134629009169294,0.134629009169294,NaN,0.05,400,78,556,556,205,351,179,30,100,30,8637,0,90,90,90,90,75,75,75,75,75,0,20
