problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP5_BC,11,fallback_only,50000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,51000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,52000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,53000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,54000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,55000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,56000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,57000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,58000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,59000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,60000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,61000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,62000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,63000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,64000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,65000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,66000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,67000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,68000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,69000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,70000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,71000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,72000,0.01,0,0,0,0
LIRCMOP5_BC,11,fallback_only,73000,0.01,0,2,1,1
LIRCMOP5_BC,11,fallback_only,74000,0.01,0,2,1,1
LIRCMOP5_BC,11,fallback_only,75000,0.01,0,4,3,3
LIRCMOP5_BC,11,fallback_only,76000,0.01,0,4,3,3
LIRCMOP5_BC,11,fallback_only,77000,0.01,0,4,3,3
LIRCMOP5_BC,11,fallback_only,78000,0.01,0,4,3,3
LIRCMOP5_BC,11,fallback_only,79000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,80000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,81000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,82000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,83000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,84000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,85000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,86000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,87000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,88000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,89000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,90000,0.01,0,1,1,1
LIRCMOP5_BC,11,fallback_only,91000,0.01,0,2,2,2
LIRCMOP5_BC,11,fallback_only,92000,0.01,0,2,2,2
LIRCMOP5_BC,11,fallback_only,93000,0.01,0,2,2,2
LIRCMOP5_BC,11,fallback_only,94000,0.01,0,2,2,2
LIRCMOP5_BC,11,fallback_only,95000,0.01,0,3,2,2
LIRCMOP5_BC,11,fallback_only,96000,0.01,0,4,2,2
LIRCMOP5_BC,11,fallback_only,97000,0.01,0,5,3,3
LIRCMOP5_BC,11,fallback_only,98000,0.01,0,4,3,3
LIRCMOP5_BC,11,fallback_only,99000,0.01,0,3,3,3
LIRCMOP5_BC,11,fallback_only,100000,0.01,0,3,3,3
LIRCMOP5_BC,11,fallback_only,50000,0.02,3,3,0,0
LIRCMOP5_BC,11,fallback_only,51000,0.02,3,2,0,0
LIRCMOP5_BC,11,fallback_only,52000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,53000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,54000,0.02,3,2,1,1
LIRCMOP5_BC,11,fallback_only,55000,0.02,3,2,1,1
LIRCMOP5_BC,11,fallback_only,56000,0.02,3,2,1,1
LIRCMOP5_BC,11,fallback_only,57000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,58000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,59000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,60000,0.02,3,1,1,1
LIRCMOP5_BC,11,fallback_only,61000,0.02,3,1,1,1
LIRCMOP5_BC,11,fallback_only,62000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,63000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,64000,0.02,3,1,1,1
LIRCMOP5_BC,11,fallback_only,65000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,66000,0.02,3,0,0,0
LIRCMOP5_BC,11,fallback_only,67000,0.02,3,2,1,1
LIRCMOP5_BC,11,fallback_only,68000,0.02,3,3,2,2
LIRCMOP5_BC,11,fallback_only,69000,0.02,3,6,3,3
LIRCMOP5_BC,11,fallback_only,70000,0.02,3,7,3,3
LIRCMOP5_BC,11,fallback_only,71000,0.02,3,6,2,2
LIRCMOP5_BC,11,fallback_only,72000,0.02,3,9,2,2
LIRCMOP5_BC,11,fallback_only,73000,0.02,3,12,3,3
LIRCMOP5_BC,11,fallback_only,74000,0.02,3,11,3,3
LIRCMOP5_BC,11,fallback_only,75000,0.02,3,14,4,4
LIRCMOP5_BC,11,fallback_only,76000,0.02,3,15,4,4
LIRCMOP5_BC,11,fallback_only,77000,0.02,3,16,4,4
LIRCMOP5_BC,11,fallback_only,78000,0.02,3,16,5,5
LIRCMOP5_BC,11,fallback_only,79000,0.02,3,13,5,5
LIRCMOP5_BC,11,fallback_only,80000,0.02,3,14,5,5
LIRCMOP5_BC,11,fallback_only,81000,0.02,3,14,5,5
LIRCMOP5_BC,11,fallback_only,82000,0.02,3,14,5,5
LIRCMOP5_BC,11,fallback_only,83000,0.02,3,11,5,5
LIRCMOP5_BC,11,fallback_only,84000,0.02,3,17,5,5
LIRCMOP5_BC,11,fallback_only,85000,0.02,3,14,3,3
LIRCMOP5_BC,11,fallback_only,86000,0.02,3,2,2,2
LIRCMOP5_BC,11,fallback_only,87000,0.02,3,2,2,2
LIRCMOP5_BC,11,fallback_only,88000,0.02,3,3,3,3
LIRCMOP5_BC,11,fallback_only,89000,0.02,3,3,3,3
LIRCMOP5_BC,11,fallback_only,90000,0.02,3,3,3,3
LIRCMOP5_BC,11,fallback_only,91000,0.02,3,4,4,4
