problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP5_BC,2,fallback_only,50000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,51000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,52000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,53000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,54000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,55000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,56000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,57000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,58000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,59000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,60000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,61000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,62000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,63000,0.01,0,1,1,1
LIRCMOP5_BC,2,fallback_only,64000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,65000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,66000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,67000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,68000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,69000,0.01,0,1,1,1
LIRCMOP5_BC,2,fallback_only,70000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,71000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,72000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,73000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,74000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,75000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,76000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,77000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,78000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,79000,0.01,0,0,0,0
LIRCMOP5_BC,2,fallback_only,80000,0.01,0,1,1,1
LIRCMOP5_BC,2,fallback_only,81000,0.01,0,1,1,1
